CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
21867,52,81,1-52-2021-081-10,10,1,2395,1215,1230,P245/45R17,240,P245/45R17,270,,,,,,,,,647.634607925297,12,6
21872,32,63,1-32-2021-063-06,6,1,1760,980,910,P195/65R15,230,P195/65R15,230,,,,,,,,,4293.74814809286,7,6
21872,32,63,1-32-2021-063-06,6,2,1510,798,730,P185/65R14,210,P185/65R14,200,,,,,,,,,4293.74814809286,7,6
21869,59,23,1-59-2021-023-02,2,1,2150,1200,1150,P225/60R17,240,P225/60R17,240,,,,,,,,,174.412135303241,6,6
21869,59,23,1-59-2021-023-02,2,2,2060,1150,930,P235/45R18,220,P235/45R18,220,,,,,,,,,174.412135303241,6,6
21873,32,64,1-32-2021-064-02,2,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,110.71573478258,7,6
21876,73,38,1-73-2021-038-07,7,1,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,269.553902312685,3,6
21877,73,39,1-73-2021-039-09,9,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,291.896122804733,3,6
21875,25,44,1-25-2021-044-01,1,1,2540,1361,1216,P255/45R19,235,P255/45R19,235,,,,,,,,,46.2646390777131,2,6
21883,27,41,1-27-2021-041-06,6,1,1734,905,835,P205/55R16,230,P205/55R16,230,,,,,,,,,94.987232593781,3,6
21881,18,35,1-18-2021-035-05,5,1,2386,1279,1143,P235/60R17,260,P235/60R17,260,,,,,,,,,76.6500073805899,6,6
21878,23,44,1-23-2021-044-05,5,2,4355,1951,2760,LT245/75R16,340,LT245/75R16,550,,,,,,,,,82.7206547024009,5,6
21884,27,42,1-27-2021-042-03,3,1,2722,1451,1588,P255/65R17,240,P255/65R17,240,,,,,,,,,46.7059367918385,3,6
21884,27,42,1-27-2021-042-03,3,2,2096,1098,1006,P235/55R17,240,P235/55R17,240,,,,,,,,,46.7059367918385,3,6
21882,18,36,1-18-2021-036-01,1,2,9999,9999,9999,P225/60R16,210,P225/60R16,210,,,,,,,,,77.4999510158881,6,6
21887,19,74,1-19-2021-074-08,8,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,110.082161386268,9,6
21885,22,63,1-22-2021-063-03,3,1,3266,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,60.6917769803106,12,6
21886,22,64,1-22-2021-064-10,10,1,4173,1905,2760,LT245/75R16,340,LT245/75R16,550,,,,,,,,,1538.37421690663,12,6
21888,19,75,1-19-2021-075-04,4,1,2405,1248,1316,P225/65R17,250,P225/65R17,250,,,,,,,,,355.724006734482,9,6
21885,22,63,1-22-2021-063-03,3,2,2767,1780,1701,P265/75R16,240,P265/75R16,240,,,,,,,,,60.6917769803106,12,6
21885,22,63,1-22-2021-063-03,3,3,3266,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,60.6917769803106,12,6
21893,13,37,1-13-2021-037-06,6,2,1750,1000,830,P205/55R16,220,P205/55R16,220,,,,,,,,,1373.69381495243,7,6
