CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
23330,13,83,1-13-2021-083-03,3,1,887,887,258,887,887,887,887,265,887,887,40,42,123,999,999,887,887,887,12,13,132,887,887,887,887,887,830.109077450834,7,6
24105,20,157,1-20-2021-157-06,6,1,887,887,281,887,887,887,887,999,887,887,40,887,133,80,51,52,887,887,15,15,115,6,30,82,887,887,201.501526334769,11,6
24105,20,157,1-20-2021-157-06,6,2,887,887,255,887,887,887,887,267,887,887,40,887,105,84,52,143,887,887,11,12,110,6,36,80,887,887,201.501526334769,11,6
24108,20,160,1-20-2021-160-03,3,1,887,887,394,887,887,887,887,394,887,887,999,999,136,70,65,887,887,887,8,10,129,5,44,89,376,200,99.964380871425,11,6
23340,20,128,1-20-2021-128-03,3,1,887,887,887,887,887,887,887,284,887,887,887,887,887,887,887,887,887,887,8,17,112,887,887,887,887,887,444.310673968114,11,6
23340,20,128,1-20-2021-128-03,3,2,887,887,399,887,887,887,887,399,887,887,50,887,110,80,66,887,887,887,887,887,887,887,887,887,213,250,444.310673968114,11,6
23341,20,129,1-20-2021-129-08,8,1,887,887,887,887,887,887,887,887,887,887,40,887,120,80,55,887,887,887,887,887,887,887,887,887,887,887,427.982507689639,11,6
24113,21,162,1-21-2021-162-07,7,2,887,887,887,887,887,887,887,887,887,887,887,35,887,887,887,999,24,140,887,887,887,887,887,887,887,887,323.071981589605,11,6
24116,29,99,1-29-2021-099-06,6,1,887,887,887,887,887,887,887,280,887,887,887,887,887,887,887,887,887,887,10,8,113,887,887,887,887,887,1032.65028599056,2,6
23539,54,66,1-54-2021-066-04,4,1,887,887,887,887,887,887,887,887,887,887,34,887,140,887,887,887,887,887,887,887,887,887,887,887,887,887,222.817718054871,9,6
23541,59,58,1-59-2021-058-08,8,1,100,887,273,887,114,100,887,273,887,114,40,887,124,887,887,887,887,887,887,887,887,887,887,887,887,887,256.92037659611,6,6
24322,32,135,1-32-2021-135-06,6,2,887,887,887,887,887,887,887,887,887,887,37,887,129,999,999,887,887,887,887,887,887,887,887,887,887,887,3944.6593258398,7,6
24323,32,136,1-32-2021-136-04,4,2,887,887,887,887,887,887,887,887,887,887,43,887,117,999,999,887,887,175,887,887,104,887,42,86,887,887,7960.14901214382,7,6
24324,27,102,1-27-2021-102-07,7,1,887,887,887,887,887,887,887,887,887,887,42,887,102,999,999,887,887,887,887,887,887,887,887,887,887,887,306.829073474614,3,6
24325,27,103,1-27-2021-103-03,3,1,887,887,262,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,14,21,105,887,887,887,887,887,45.0683967454281,3,6
24325,27,103,1-27-2021-103-03,3,2,887,887,887,887,887,887,887,287,887,887,887,887,887,887,887,887,887,887,11,22,123,887,887,887,887,887,45.0683967454281,3,6
24326,13,129,1-13-2021-129-01,1,1,887,887,887,887,887,887,887,887,887,887,887,48,887,887,887,16,19,168,12,16,125,8,38,82,887,887,264.803387490421,7,6
24327,24,192,1-24-2021-192-10,10,1,887,887,887,887,887,887,887,999,887,887,38,44,91,887,887,887,887,887,999,999,887,887,887,887,887,887,1626.50977481385,1,6
24328,31,95,1-31-2021-095-06,6,2,887,887,360,887,887,887,887,368,887,887,887,887,887,887,887,887,887,887,14,18,129,887,887,887,887,195,246.351314593914,6,6
24329,31,96,1-31-2021-096-04,4,1,887,887,887,887,887,887,887,272,887,887,887,887,887,887,887,887,887,887,12,13,101,887,887,887,887,887,407.471286463091,6,6
23789,19,164,1-19-2021-164-07,7,2,887,887,887,887,887,887,887,887,887,887,40,887,129,999,999,887,887,887,887,887,887,887,887,887,887,887,874.315282408141,9,6
23792,11,68,1-11-2021-068-07,7,1,887,887,280,887,887,887,887,280,887,887,38,40,123,999,999,887,887,887,887,887,887,887,887,887,887,887,3174.69568841244,8,6
23794,24,163,1-24-2021-163-05,5,2,887,887,382,887,887,887,887,382,887,887,887,887,126,887,887,887,887,887,13,20,108,12,41,78,887,182,113.48027684511,1,6
23797,48,55,1-48-2021-055-01,1,1,887,887,252,887,887,887,887,887,887,887,887,887,117,887,887,57,887,887,8,20,117,3,39,70,887,887,110.655013049912,12,6
21756,29,35,1-29-2021-035-06,6,2,887,887,290,887,887,887,887,887,887,887,43,887,99,887,887,887,887,887,10,6,887,887,887,887,887,887,56.7817008651333,2,6
21768,10,58,1-10-2021-058-04,4,2,887,887,999,887,887,887,887,887,887,887,887,887,94,887,887,33,887,887,999,999,110,887,38,81,887,887,1492.78082565532,4,6
21768,10,58,1-10-2021-058-04,4,3,887,887,999,887,887,887,887,887,887,887,887,999,106,887,887,52,999,999,999,999,101,887,36,74,887,887,1492.78082565532,4,6
21775,17,37,1-17-2021-037-04,4,1,887,887,887,887,887,887,887,887,887,887,44,45,107,887,887,51,71,82,887,887,887,887,887,887,887,887,333.433950796245,4,6
21776,17,38,1-17-2021-038-09,9,1,887,887,887,887,887,887,887,887,887,887,47,887,116,887,887,887,887,887,887,887,887,887,887,999,887,887,691.703867027812,4,6
21777,11,25,1-11-2021-025-02,2,1,887,887,278,887,887,887,887,284,887,887,38,40,103,887,887,887,887,887,887,887,887,887,887,887,887,887,111.265191915334,8,6
21777,11,25,1-11-2021-025-02,2,2,887,887,270,887,887,887,887,260,887,887,38,40,86,887,887,887,887,887,887,887,887,887,887,887,887,887,111.265191915334,8,6
21783,52,74,1-52-2021-074-06,6,1,887,887,887,887,887,887,887,887,887,887,52,887,127,999,999,887,887,887,887,887,887,887,887,887,887,887,75.2428542544457,12,6
21783,52,74,1-52-2021-074-06,6,2,887,887,887,887,887,887,887,264,887,887,887,887,887,887,887,887,887,887,10,14,98,887,887,887,887,887,75.2428542544457,12,6
21784,52,75,1-52-2021-075-06,6,1,887,887,270,887,887,887,887,271,887,887,50,53,117,887,887,887,887,887,10,14,111,887,887,887,887,887,75.2428542544457,12,6
21784,52,75,1-52-2021-075-06,6,2,887,887,279,887,887,887,887,277,887,887,34,887,101,887,887,887,887,887,887,887,105,887,887,887,887,887,75.2428542544457,12,6
21785,52,76,1-52-2021-076-03,3,1,887,887,263,887,887,887,887,264,887,887,30,887,106,88,887,887,887,887,8,15,101,887,887,887,887,887,36.997477438623,12,6
21785,52,76,1-52-2021-076-03,3,2,887,887,320,887,887,887,887,319,887,887,43,887,121,90,887,887,887,887,887,887,887,887,887,887,887,153,36.997477438623,12,6
21786,52,77,1-52-2021-077-06,6,2,887,887,294,887,887,887,887,293,887,887,46,48,127,887,887,12,58,174,887,887,111,887,887,887,887,887,75.2428542544457,12,6
21787,76,27,1-76-2021-027-04,4,1,887,887,887,887,887,887,887,887,887,887,39,887,139,887,887,887,887,887,887,887,887,887,887,887,887,887,17.2757568540296,3,6
21788,76,28,1-76-2021-028-02,2,1,887,887,887,887,887,887,887,887,887,887,999,887,117,887,887,887,887,887,887,887,887,887,887,887,887,887,17.3682875210287,3,6
21788,76,28,1-76-2021-028-02,2,2,887,887,999,887,887,887,887,999,887,887,999,887,131,887,887,887,887,887,999,999,887,887,887,887,887,999,17.3682875210287,3,6
21789,16,37,1-16-2021-037-06,6,1,887,887,275,887,887,887,887,280,887,887,35,887,133,76,60,887,887,887,16,25,126,887,887,887,887,887,684.781901063652,5,6
21790,16,38,1-16-2021-038-03,3,1,887,887,267,887,887,887,887,887,887,887,44,887,117,999,887,887,887,887,11,26,120,887,887,887,887,887,388.003527987686,5,6
21790,16,38,1-16-2021-038-03,3,2,887,887,887,887,887,887,887,999,887,887,44,887,123,77,887,887,887,887,999,999,999,887,887,887,887,887,388.003527987686,5,6
21793,25,41,1-25-2021-041-08,8,1,887,887,887,887,887,887,887,276,887,887,40,887,116,887,887,887,887,887,999,999,108,887,887,887,887,887,164.800376377125,2,6
21794,25,42,1-25-2021-042-04,4,1,887,887,887,887,887,887,887,887,887,887,999,887,114,887,887,887,887,207,887,887,118,887,45,90,887,887,753.400514291633,2,6
21798,66,33,1-66-2021-033-05,5,1,887,887,887,887,887,887,887,999,887,887,999,887,105,887,887,887,887,887,999,999,108,887,887,887,887,887,113.709358166044,6,6
21798,66,33,1-66-2021-033-05,5,2,887,887,887,887,887,887,887,287,887,887,999,887,108,60,70,887,887,887,8,26,112,887,887,887,887,887,113.709358166044,6,6
21799,14,34,1-14-2021-034-03,3,2,887,887,887,887,887,887,887,887,887,887,887,43,887,887,887,13,18,196,887,887,887,887,887,887,887,887,3883.17397531495,8,6
21800,14,35,1-14-2021-035-08,8,1,887,887,303,887,887,887,887,303,887,887,36,887,102,100,120,887,887,223,13,14,126,12,45,89,887,887,1534.99824422325,8,6
21801,59,21,1-59-2021-021-02,2,2,84,887,254,887,74,887,887,887,887,887,887,887,887,887,887,887,887,887,10,12,100,7,39,82,887,887,64.7976556419355,6,6
21802,59,22,1-59-2021-022-08,8,1,86,887,262,887,887,887,887,262,887,887,30,887,114,887,887,887,887,887,5,7,103,999,34,83,887,887,294.198142789193,6,6
21802,59,22,1-59-2021-022-08,8,2,887,887,887,887,887,887,887,887,887,887,34,887,115,887,887,887,887,887,887,887,887,887,887,887,887,887,294.198142789193,6,6
21803,18,33,1-18-2021-033-02,2,1,887,887,318,887,887,887,887,313,887,887,999,887,128,887,887,887,887,887,887,887,887,887,887,887,196,999,48.5556827782631,6,6
21803,18,33,1-18-2021-033-02,2,2,887,887,887,887,887,887,887,887,887,887,47,44,107,887,887,10,27,174,887,887,887,887,887,887,887,887,48.5556827782631,6,6
21804,18,34,1-18-2021-034-03,3,1,887,887,359,887,887,887,887,363,887,887,45,887,131,887,887,887,887,887,887,887,133,887,887,887,293,174,419.174210658328,6,6
21805,27,39,1-27-2021-039-03,3,1,887,887,887,887,887,887,887,887,887,887,34,887,96,999,999,887,887,887,887,887,887,887,887,887,887,887,19.0706214116776,3,6
21807,23,41,1-23-2021-041-03,3,1,887,887,887,887,887,887,887,887,887,887,19,887,122,887,887,50,887,887,11,23,116,887,35,84,887,887,268.932290391585,5,6
21808,23,42,1-23-2021-042-03,3,1,887,887,999,887,887,887,887,999,887,887,999,999,114,999,999,999,887,170,999,999,107,999,38,89,887,887,268.932290391585,5,6
21809,23,43,1-23-2021-043-06,6,1,999,999,999,999,999,999,999,999,999,999,999,999,121,999,999,50,999,999,999,999,111,999,36,79,887,887,474.634769496838,5,6
21809,23,43,1-23-2021-043-06,6,2,999,999,999,999,999,999,999,999,999,999,999,999,82,999,999,999,999,345,999,999,163,999,66,105,887,887,474.634769496838,5,6
23237,25,82,1-25-2021-082-02,2,2,887,887,270,887,887,887,887,268,887,887,887,887,117,887,887,50,887,887,10,24,99,887,35,80,887,887,41.8895438406154,2,6
22519,20,81,1-20-2021-081-03,3,2,887,887,284,887,887,887,887,284,887,887,50,887,129,52,63,887,887,887,887,887,887,887,887,887,887,183,166.228830304906,11,6
23241,66,72,1-66-2021-072-07,7,1,887,887,272,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,13,22,113,887,887,887,887,887,291.178049171337,6,6
22520,20,82,1-20-2021-082-08,8,1,887,887,226,887,887,887,887,238,887,887,40,887,90,60,56,887,887,887,10,14,108,3,46,74,887,887,160.1200146934,11,6
22520,20,82,1-20-2021-082-08,8,2,887,887,364,887,887,887,887,364,887,887,887,40,130,75,70,887,887,887,7,16,134,4,43,88,260,200,160.1200146934,11,6
23245,14,69,1-14-2021-069-01,1,1,887,887,887,887,887,887,887,887,887,887,34,38,137,60,887,64,999,999,887,887,887,887,887,887,887,887,250.817628345682,8,6
23246,31,69,1-31-2021-069-03,3,1,887,887,887,887,887,887,887,887,887,887,43,887,96,887,887,887,887,887,887,887,887,887,887,887,887,887,227.863878959868,6,6
22527,27,59,1-27-2021-059-07,7,1,887,887,355,887,887,887,887,355,887,887,42,887,137,999,999,887,887,887,887,887,887,887,887,887,887,193,463.910985596534,3,6
23247,31,70,1-31-2021-070-06,6,1,887,887,887,887,887,887,887,887,887,887,999,887,116,887,887,887,887,887,999,999,111,999,33,86,887,887,252.661130281061,6,6
22530,26,94,1-26-2021-094-03,3,1,887,887,887,887,887,887,887,887,887,887,36,887,107,887,887,51,887,887,887,887,111,887,35,79,887,887,271.989956971993,10,6
22531,26,95,1-26-2021-095-03,3,1,887,887,887,887,887,887,887,887,887,887,41,887,999,80,62,887,887,887,887,887,887,887,887,887,887,887,271.989956971993,10,6
22537,21,95,1-21-2021-095-02,2,2,887,887,887,887,887,887,887,887,887,887,35,35,91,887,887,10,25,291,10,12,158,10,54,99,887,887,37.1091613790526,11,6
23596,20,136,1-20-2021-136-04,4,1,887,887,270,887,887,887,887,270,887,887,40,887,115,94,59,887,887,887,12,16,102,887,887,887,887,887,511.039642312749,11,6
22894,17,63,1-17-2021-063-07,7,1,887,887,887,887,887,887,887,887,887,887,48,887,116,887,887,887,887,887,887,887,887,887,887,887,887,887,646.944465805485,4,6
23600,18,85,1-18-2021-085-04,4,1,887,887,887,887,887,887,887,887,887,887,887,887,122,887,887,887,887,887,13,18,97,8,43,115,887,887,818.877925841216,6,6
22897,19,119,1-19-2021-119-03,3,1,999,999,265,999,999,887,887,887,887,887,887,887,887,887,887,887,887,887,13,20,111,887,887,887,887,887,268.128682126203,9,6
23604,26,149,1-26-2021-149-05,5,1,887,887,887,887,887,887,887,887,887,887,999,887,123,999,999,887,887,86,887,887,115,887,39,89,887,887,67.6703633524255,10,6
23607,26,150,1-26-2021-150-03,3,1,887,887,887,887,887,887,887,887,887,887,48,887,121,999,999,887,887,887,887,887,887,887,887,887,887,887,647.055578016723,10,6
23608,76,69,1-76-2021-069-04,4,2,887,887,887,887,887,887,887,887,887,887,887,33,887,887,887,999,999,999,887,887,887,887,887,887,887,887,18.0235286259961,3,6
22897,19,119,1-19-2021-119-03,3,2,887,887,280,887,887,887,887,282,887,887,48,887,121,999,999,887,887,887,16,23,116,887,887,887,887,887,268.128682126203,9,6
22898,11,48,1-11-2021-048-09,9,2,887,887,303,887,887,887,887,300,887,887,44,46,136,887,887,10,20,186,887,887,887,887,887,887,887,887,11546.2496543568,8,6
22899,24,113,1-24-2021-113-05,5,1,887,887,999,887,887,887,887,887,887,887,58,60,133,887,887,23,25,887,15,22,121,8,40,93,887,887,87.9409116804594,1,6
23611,17,82,1-17-2021-082-03,3,1,887,887,887,887,887,887,887,887,887,887,35,887,115,887,887,887,887,887,887,887,887,887,887,887,887,887,115.471738798146,4,6
23876,66,90,1-66-2021-090-09,9,1,887,887,887,887,887,887,887,262,887,887,43,887,120,887,887,887,887,887,10,20,118,9,44,81,887,887,566.487183893473,6,6
23878,16,98,1-16-2021-098-04,4,1,887,887,887,887,887,887,887,887,887,887,47,887,128,999,887,887,887,887,887,887,887,887,887,887,887,887,2050.53103571933,5,6
23878,16,98,1-16-2021-098-04,4,2,887,887,887,887,887,887,887,887,887,887,887,44,128,887,887,65,78,999,887,887,109,887,38,78,887,887,2050.53103571933,5,6
23879,16,99,1-16-2021-099-02,2,1,887,887,887,887,887,887,887,887,887,887,54,887,137,74,887,887,887,887,887,887,887,887,887,887,887,887,38.7448125758046,5,6
23879,16,99,1-16-2021-099-02,2,2,887,887,887,887,887,887,887,887,887,887,45,887,104,92,887,887,887,887,887,887,887,887,887,887,887,887,38.7448125758046,5,6
23880,12,58,1-12-2021-058-06,6,1,887,887,887,887,887,887,887,999,887,887,42,887,146,999,999,887,887,887,999,999,117,887,887,887,887,887,322.402113718958,9,6
23133,24,127,1-24-2021-127-06,6,1,887,887,887,887,887,887,887,887,887,887,33,40,102,887,887,887,887,219,887,887,140,887,47,88,887,887,1281.05569610645,1,6
23133,24,127,1-24-2021-127-06,6,2,887,887,999,887,887,887,887,887,887,887,999,999,999,887,887,887,887,887,999,999,999,887,887,887,887,887,1281.05569610645,1,6
23134,24,128,1-24-2021-128-05,5,1,887,887,300,887,887,887,887,304,887,887,55,65,887,887,887,887,887,887,12,25,887,887,887,887,887,887,113.48027684511,1,6
23134,24,128,1-24-2021-128-05,5,2,887,887,887,887,887,887,887,887,887,887,38,50,116,887,887,887,887,887,15,23,887,887,887,887,887,887,113.48027684511,1,6
23136,23,98,1-23-2021-098-05,5,1,887,887,887,887,887,887,887,887,887,887,999,887,128,999,999,887,887,887,887,887,887,887,887,887,887,887,79.5378796779388,5,6
24116,29,99,1-29-2021-099-06,6,2,887,887,887,887,887,887,887,887,887,887,48,887,118,887,887,887,887,887,887,887,887,887,887,887,887,887,1032.65028599056,2,6
24118,76,81,1-76-2021-081-04,4,1,887,887,887,887,887,887,887,887,887,887,46,887,106,887,887,887,887,887,887,887,887,887,887,887,887,887,85.2668506157759,3,6
24118,76,81,1-76-2021-081-04,4,2,887,887,282,887,887,887,887,285,887,887,887,887,887,887,887,887,887,887,12,18,108,887,887,887,887,887,85.2668506157759,3,6
