CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
21269,10,40,1-10-2021-040-08,8,1,1,1,1,1,88,8,88,8,185.984032828546,4,6
21343,10,44,1-10-2021-044-10,10,1,1,1,1,1,88,8,88,8,6639.04804315737,4,6
21422,10,48,1-10-2021-048-07,7,1,1,1,1,1,88,8,88,8,1837.4270549451,4,6
24015,24,174,1-24-2021-174-06,6,1,1,1,1,1,88,8,88,8,580.127100659528,1,6
24391,15,111,1-15-2021-111-07,7,1,1,1,1,1,88,8,88,8,176.948741225236,1,6
23477,24,146,1-24-2021-146-03,3,1,1,1,1,1,88,8,88,8,246.428236085863,1,6
23477,24,146,1-24-2021-146-03,3,2,1,1,1,1,88,8,88,8,246.428236085863,1,6
23510,22,95,1-22-2021-095-09,9,1,1,1,1,1,88,8,88,8,956.84326453135,12,6
23795,24,164,1-24-2021-164-02,2,1,1,1,1,1,88,8,88,8,96.2126014946297,1,6
23795,24,164,1-24-2021-164-02,2,2,1,1,1,1,88,8,88,8,96.2126014946297,1,6
23796,24,165,1-24-2021-165-03,3,1,1,1,1,1,88,8,88,8,515.720559819978,1,6
23269,21,126,1-21-2021-126-03,3,1,1,1,1,1,4,1,5,1,329.251099768821,11,6
23337,22,92,1-22-2021-092-05,5,3,1,1,1,1,88,8,88,8,48.0307847414096,12,6
23337,22,92,1-22-2021-092-05,5,1,1,1,1,1,88,8,88,8,48.0307847414096,12,6
23431,22,94,1-22-2021-094-03,3,2,1,1,1,1,88,8,88,8,44.9430397046145,12,6
23431,22,94,1-22-2021-094-03,3,1,1,1,1,1,88,8,88,8,44.9430397046145,12,6
23433,22,93,1-22-2021-093-03,3,2,1,1,1,1,88,8,88,8,44.9430397046145,12,6
22078,24,80,1-24-2021-080-08,8,2,1,1,1,1,88,8,88,8,320.928419121334,1,6
22275,24,90,1-24-2021-090-03,3,2,1,1,1,1,88,8,88,8,265.769289115037,1,6
22680,73,60,1-73-2021-060-03,3,2,1,1,1,1,88,8,88,8,112.665295043583,3,6
22811,73,64,1-73-2021-064-07,7,1,1,1,1,1,88,8,88,8,342.347673133828,3,6
22886,73,67,1-73-2021-067-04,4,2,1,1,1,1,88,8,88,8,71.266179143931,3,6
22886,73,67,1-73-2021-067-04,4,1,1,1,1,1,88,8,88,8,71.266179143931,3,6
21684,10,57,1-10-2021-057-04,4,1,1,1,1,1,88,8,88,8,821.448781764211,4,6
21768,10,58,1-10-2021-058-04,4,1,1,1,1,1,88,8,88,8,1492.78082565532,4,6
